,Market,Submarket,Population,Start,Price,LTV,Loan,Equity,SOFR,Spread,Net_Rate
Chattanooga - TN USA - North Shore,Chattanooga - TN,North Shore,582939.0,2024-12-31,194707.9913,0.6,116824.79478,77883.19652,0.0404,0.03,0.07039999999999999
Chattanooga - TN USA - Outlying Hamilton County,Chattanooga - TN,Outlying Hamilton County,582939.0,2024-12-31,221009.8869,0.6,132605.93214,88403.95476000001,0.0404,0.03,0.07039999999999999
Chattanooga - TN USA - Red Bank,Chattanooga - TN,Red Bank,582939.0,2024-12-31,280692.8858,0.6,168415.73148,112277.15432,0.0404,0.03,0.07039999999999999
Chicago - IL USA - DeKalb,Chicago - IL,DeKalb,9421662.0,2024-12-31,165456.602,0.6,99273.9612,66182.64080000001,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Des Plaines/Arlington Hts Corridor ,Chicago - IL,Des Plaines/Arlington Hts Corridor ,9421662.0,2024-12-31,299195.5401,0.6,179517.32405999998,119678.21604,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Downtown Chicago,Chicago - IL,Downtown Chicago,9421662.0,2024-12-31,467100.3312,0.6,280260.19872,186840.13248000003,0.0404,0.03,0.07039999999999999
Chicago - IL USA - East Suburban McHenry,Chicago - IL,East Suburban McHenry,9421662.0,2024-12-31,333325.5149,0.6,199995.30894,133330.20596000002,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Elgin/Dundee,Chicago - IL,Elgin/Dundee,9421662.0,2024-12-31,255904.0912,0.6,153542.45471999998,102361.63648,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Evanston,Chicago - IL,Evanston,9421662.0,2024-12-31,448383.9913,0.6,269030.39478,179353.59652000002,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Far North Chicago,Chicago - IL,Far North Chicago,9421662.0,2024-12-31,369070.7107,0.6,221442.42642,147628.28428,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Far North Suburban Cook,Chicago - IL,Far North Suburban Cook,9421662.0,2024-12-31,309368.6759,0.6,185621.20554,123747.47035999999,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Far Northwest Suburban Cook,Chicago - IL,Far Northwest Suburban Cook,9421662.0,2024-12-31,398582.2604,0.6,239149.35624,159432.90416000003,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Fox River Valley,Chicago - IL,Fox River Valley,9421662.0,2024-12-31,274723.2654,0.6,164833.95924,109889.30616,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Glen Ellyn to West Chicago Corridor,Chicago - IL,Glen Ellyn to West Chicago Corridor,9421662.0,2024-12-31,256505.0084,0.6,153903.00504,102602.00336,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Kendall County,Chicago - IL,Kendall County,9421662.0,2024-12-31,269796.05,0.6,161877.63,107918.42,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Kenosha,Chicago - IL,Kenosha,9421662.0,2024-12-31,198658.8628,0.6,119195.31768,79463.54512000001,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Naperville/Lisle,Chicago - IL,Naperville/Lisle,9421662.0,2024-12-31,246779.8846,0.6,148067.93076,98711.95384,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Near North Suburban Cook,Chicago - IL,Near North Suburban Cook,9421662.0,2024-12-31,341750.3717,0.6,205050.22302,136700.14868,0.0404,0.03,0.07039999999999999
Chicago - IL USA - North DuPage County,Chicago - IL,North DuPage County,9421662.0,2024-12-31,280080.5285,0.6,168048.3171,112032.21140000001,0.0404,0.03,0.07039999999999999
Chicago - IL USA - North Lake County IN,Chicago - IL,North Lake County IN,9421662.0,2024-12-31,184657.2864,0.6,110794.37184,73862.91456,0.0404,0.03,0.07039999999999999
Chicago - IL USA - North Lakefront,Chicago - IL,North Lakefront,9421662.0,2024-12-31,465021.4281,0.6,279012.85686,186008.57124000002,0.0404,0.03,0.07039999999999999
Chicago - IL USA - North Will County,Chicago - IL,North Will County,9421662.0,2024-12-31,315798.0956,0.6,189478.85736,126319.23824,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Northeast DuPage County,Chicago - IL,Northeast DuPage County,9421662.0,2024-12-31,341436.0254,0.6,204861.61523999998,136574.41016,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Northeast Lake County,Chicago - IL,Northeast Lake County,9421662.0,2024-12-31,197104.5315,0.6,118262.7189,78841.8126,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Northwest Chicago,Chicago - IL,Northwest Chicago,9421662.0,2024-12-31,371976.6455,0.6,223185.98729999998,148790.6582,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Northwest Lake County,Chicago - IL,Northwest Lake County,9421662.0,2024-12-31,138292.3168,0.6,82975.39008,55316.92672,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Porter County,Chicago - IL,Porter County,9421662.0,2024-12-31,156529.8008,0.6,93917.88047999999,62611.920320000005,0.0404,0.03,0.07039999999999999
Chicago - IL USA - South Lake County IN,Chicago - IL,South Lake County IN,9421662.0,2024-12-31,154194.5175,0.6,92516.71049999999,61677.807,0.0404,0.03,0.07039999999999999
Chicago - IL USA - South Lakefront,Chicago - IL,South Lakefront,9421662.0,2024-12-31,424933.2116,0.6,254959.92695999998,169973.28464,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Southeast DuPage County,Chicago - IL,Southeast DuPage County,9421662.0,2024-12-31,370209.9293,0.6,222125.95758000002,148083.97172,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Southeast Lake County,Chicago - IL,Southeast Lake County,9421662.0,2024-12-31,320379.9637,0.6,192227.97822,128151.98548000002,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Southern Cook County,Chicago - IL,Southern Cook County,9421662.0,2024-12-31,125571.04,0.6,75342.624,50228.416,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Southwest Chicago,Chicago - IL,Southwest Chicago,9421662.0,2024-12-31,531158.6532,0.6,318695.19191999995,212463.46128,0.0404,0.03,0.07039999999999999
Chicago - IL USA - Southwest Cook County,Chicago - IL,Southwest Cook County,9421662.0,2024-12-31,239727.4185,0.6,143836.4511,95890.96740000001,0.0404,0.03,0.07039999999999999
