,date,geography_name,market,population,submarket,cap_rate,price,equity,debt,mo_rent,occupancy,revenue,debt_service,pay_off,valuation,cashflow,irr
0,2024-12-31,Akron - OH USA - Kent,Akron - OH,698000.0,Kent,0.0826977044343948,111538.8425,44615.537000000004,66923.30549999999,1296.85375976563,0.972189366817474,0.0,0.0,0.0,0.0,-44615.537000000004,
1,2025-12-31,Akron - OH USA - Kent,Akron - OH,698000.0,Kent,0.0832976996898651,115182.4892,0.0,0.0,1344.43188476563,0.940696001052856,8195.267001011645,4711.400707199999,0.0,0.0,3483.8662938116468,
2,2026-12-31,Akron - OH USA - Kent,Akron - OH,698000.0,Kent,0.080197699368,123480.9721,0.0,0.0,1381.966796875,0.96379429101944,8630.917475658425,4711.400707199999,0.0,0.0,3919.5167684584267,
3,2027-12-31,Akron - OH USA - Kent,Akron - OH,698000.0,Kent,0.0764977037906647,132469.7569,0.0,0.0,1410.15283203125,0.964968919754028,8817.683684486046,4711.400707199999,0.0,0.0,4106.282977286048,
4,2028-12-31,Akron - OH USA - Kent,Akron - OH,698000.0,Kent,0.0726976990699768,141815.6103,0.0,0.0,1432.75085449219,0.963414192199707,8944.554646034136,4711.400707199999,0.0,0.0,4233.153938834137,
5,2029-12-31,Akron - OH USA - Kent,Akron - OH,698000.0,Kent,0.0706977024674416,148097.9782,0.0,0.0,1453.82727050781,0.962363362312317,9066.23344973168,4711.400707199999,66923.30549999999,148097.9782,85529.5054425317,0.198774373274611
0,2024-12-31,Akron - OH USA - South Summit County,Akron - OH,698000.0,South Summit County,0.0784000009298325,157816.4949,63126.59796,94689.89693999999,1349.8125,0.873981237411499,0.0,0.0,0.0,0.0,-63126.59796,
1,2025-12-31,Akron - OH USA - South Summit County,Akron - OH,698000.0,South Summit County,0.0790000036358833,163497.6055,0.0,0.0,1404.3125,0.959728121757507,8733.473122946618,6666.168744575998,0.0,0.0,2067.30437837062,
2,2026-12-31,Akron - OH USA - South Summit County,Akron - OH,698000.0,South Summit County,0.0759000033140182,176331.8899,0.0,0.0,1449.5,0.853452622890472,8016.27565818071,6666.168744575998,0.0,0.0,1350.1069136047117,
3,2027-12-31,Akron - OH USA - South Summit County,Akron - OH,698000.0,South Summit County,0.0722000002861023,190393.4812,0.0,0.0,1485.0625,0.866940438747406,8342.745564856232,6666.168744575998,0.0,0.0,1676.5768202802337,
4,2028-12-31,Akron - OH USA - South Summit County,Akron - OH,698000.0,South Summit County,0.068400003015995,205205.0136,0.0,0.0,1515.0,0.866626799106598,8507.848612189295,6666.168744575998,0.0,0.0,1841.6798676132967,
